127.0.0.1 - - [11/Jan/2021:23:05:17 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:05:21 +0530] "GET /cakehub/index.jsp HTTP/1.1" 200 30976
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:05:28 +0530] "GET /cakehub/assets/img/event-birthday.jpg HTTP/1.1" 200 149722
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:05:28 +0530] "GET /cakehub/assets/img/Xmas.jpg HTTP/1.1" 200 1702210
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:05:28 +0530] "GET /cakehub/assets/img/event-private.jpg HTTP/1.1" 200 242161
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:05:31 +0530] "GET /cakehub/assets/img/light.jpg HTTP/1.1" 200 2399477
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:06:07 +0530] "POST /cakehub/forms/book-a-table.php%20mailto:amalcr57@gmail.com HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:06:13 +0530] "POST /cakehub/forms/book-a-table.php%20mailto:amalcr57@gmail.com HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:07:11 +0530] "GET /cakehub/index.jsp HTTP/1.1" 200 30937
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:07:14 +0530] "GET /cakehub/assets/img/back.jpg HTTP/1.1" 200 1719457
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:07:29 +0530] "POST /cakehub/admin-.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:08:19 +0530] "POST /cakehub/admin-.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:08:22 +0530] "GET /cakehub/index.jsp HTTP/1.1" 200 30882
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:08:24 +0530] "GET /cakehub/assets/img/back.jpg HTTP/1.1" 200 1719457
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:09:00 +0530] "GET /cakehub/index.jsp HTTP/1.1" 200 30937
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:09:04 +0530] "GET /cakehub/assets/img/back.jpg HTTP/1.1" 200 1719457
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:09:14 +0530] "POST /cakehub/admin-.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:09:57 +0530] "POST /cakehub/admin-.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:10:00 +0530] "POST /cakehub/admin-.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:10:05 +0530] "POST /cakehub/admin-.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:10:09 +0530] "GET /cakehub/index.jsp HTTP/1.1" 200 30937
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:10:12 +0530] "GET /cakehub/assets/img/back.jpg HTTP/1.1" 200 1719457
